Team 1,Team 2,Total Matches,Wins by Team 1,Wins by Team 2,Ties
Delhi Capitals,Gujarat Giants,1,1,0,0
Delhi Capitals,Mumbai Indians,4,1,3,0
Delhi Capitals,Royal Challengers Bangalore,4,3,1,0
Delhi Capitals,UP Warriorz,1,1,0,0
Gujarat Giants,Delhi Capitals,3,1,2,0
Gujarat Giants,Mumbai Indians,2,0,2,0
Gujarat Giants,Royal Challengers Bangalore,4,2,2,0
Gujarat Giants,UP Warriorz,4,1,3,0
Mumbai Indians,Delhi Capitals,1,0,1,0
Mumbai Indians,Gujarat Giants,2,2,0,0
Mumbai Indians,Royal Challengers Bangalore,1,0,1,0
Mumbai Indians,UP Warriorz,4,2,2,0
Royal Challengers Bangalore,Delhi Capitals,1,0,1,0
Royal Challengers Bangalore,Mumbai Indians,4,1,3,0
Royal Challengers Bangalore,UP Warriorz,3,2,1,0
UP Warriorz,Delhi Capitals,3,1,2,0
UP Warriorz,Mumbai Indians,1,0,1,0
UP Warriorz,Royal Challengers Bangalore,1,0,1,0
