team1,team2,total_matches,team1_wins,team2_wins
Delhi Capitals,Mumbai Indians,2,0,0
Delhi Capitals,Royal Challengers Bangalore,1,0,0
Delhi Capitals,UP Warriorz,1,0,0
Gujarat Giants,Delhi Capitals,2,0,0
Gujarat Giants,Royal Challengers Bangalore,2,0,0
Gujarat Giants,UP Warriorz,2,0,0
Mumbai Indians,Delhi Capitals,1,0,0
Mumbai Indians,Gujarat Giants,2,0,0
Mumbai Indians,UP Warriorz,2,0,0
Royal Challengers Bangalore,Delhi Capitals,1,0,0
Royal Challengers Bangalore,Mumbai Indians,2,0,0
Royal Challengers Bangalore,UP Warriorz,1,0,0
UP Warriorz,Delhi Capitals,1,0,0
UP Warriorz,Mumbai Indians,1,0,0
UP Warriorz,Royal Challengers Bangalore,1,0,0
Delhi Capitals,Gujarat Giants,1,0,0
Delhi Capitals,Mumbai Indians,2,0,0
Delhi Capitals,Royal Challengers Bangalore,3,0,0
Gujarat Giants,Delhi Capitals,1,0,0
Gujarat Giants,Mumbai Indians,2,0,0
Gujarat Giants,Royal Challengers Bangalore,2,0,0
Gujarat Giants,UP Warriorz,2,0,0
Mumbai Indians,Royal Challengers Bangalore,1,0,0
Mumbai Indians,UP Warriorz,2,0,0
Royal Challengers Bangalore,Mumbai Indians,2,0,0
Royal Challengers Bangalore,UP Warriorz,2,0,0
UP Warriorz,Delhi Capitals,2,0,0
Delhi Capitals,Gujarat Giants,1,0,0
Delhi Capitals,Mumbai Indians,4,0,0
Delhi Capitals,Royal Challengers Bangalore,4,0,0
Delhi Capitals,UP Warriorz,1,0,0
Gujarat Giants,Delhi Capitals,3,0,0
Gujarat Giants,Mumbai Indians,2,0,0
Gujarat Giants,Royal Challengers Bangalore,4,0,0
Gujarat Giants,UP Warriorz,4,0,0
Mumbai Indians,Delhi Capitals,1,0,0
Mumbai Indians,Gujarat Giants,2,0,0
Mumbai Indians,Royal Challengers Bangalore,1,0,0
Mumbai Indians,UP Warriorz,4,0,0
Royal Challengers Bangalore,Delhi Capitals,1,0,0
Royal Challengers Bangalore,Mumbai Indians,4,0,0
Royal Challengers Bangalore,UP Warriorz,3,0,0
UP Warriorz,Delhi Capitals,3,0,0
UP Warriorz,Mumbai Indians,1,0,0
UP Warriorz,Royal Challengers Bangalore,1,0,0
